URL,Email,SourceFile
https://patch.com/pennsylvania/springfield-pa/breast-cancer-support-groups-in-the-delaware-valley,lorraine_curtis@chs.net,philadelphia_breast_cancer_support_groups_contact_email.csv
https://cancersupportphiladelphia.org/,info@cancersupportphiladelphia.org,philadelphia_breast_cancer_support_groups_contact_email.csv
https://mbcn.org/in-person-support-groups-for-metastatic-breat-cancer/,MBG1045@verizon.net,philadelphia_breast_cancer_support_groups_contact_email.csv
https://www.komen.org/support-resources/support/social-support/,helpline@komen.org,philadelphia_breast_cancer_support_groups_contact_email.csv
https://cancernepa.org/cancer-information/support-groups/,Hannah.chan@lvhn.org,philadelphia_breast_cancer_support_groups_contact_email.csv
https://www.412thrive.org/resources,412Thrive@412Thrive.org,philadelphia_breast_cancer_support_groups_contact_email.csv
https://giving.jefferson.edu/get-involved/the-friends-of-einstein/breast-cancer-advocacy-group.html,giving@jefferson.edu,philadelphia_breast_cancer_support_groups_contact_email.csv
https://cansun.psu.edu/patient-support/,elengeri@phs.psu.edu,philadelphia_breast_cancer_support_groups_contact_email.csv
https://secure.acsevents.org/site/STR?pg=entry&fr_id=110852,natalie.rubino@cancer.org,philadelphia_breast_cancer_support_groups_contact_email.csv
https://facingcancertogether.witf.org/support-groups,facingcancertogether@witf.org,philadelphia_breast_cancer_support_groups_contact_email.csv
https://www.inspirahealthnetwork.org/news/healthy-living/5-ways-support-group-can-help-you-through-cancer-journey,cancersupportcommunity@ihn.org,philadelphia_breast_cancer_support_groups_contact_email.csv
https://bringinghopehome.org/nominate/resources/,info@bremfoundation.org,philadelphia_breast_cancer_support_groups_contact_email.csv
https://www.med.upenn.edu/acc-cancer-research/breast-cancer-tce/,breastcancerclinicaltrials@pennmedicine.upenn.edu,philadelphia_breast_cancer_support_groups_contact_email.csv
https://www.nrgoncology.org/About-Us/Contact-NRG,info@nrgoncology.org,philadelphia_breast_cancer_support_groups_contact_email.csv
