URL,Email,SearchTerm,Location,SourceFile
https://givetoynhh.org/areas-to-support/breast-cancer-program-fund/,giving@ynhh.org,breast cancer rehabilitation contact email,New Haven,new_haven_breast_cancer_rehabilitation_contact_email.csv
https://apm.amegroups.org/article/view/136218/html,apm@amepc.org,breast cancer rehabilitation contact email,New Haven,new_haven_breast_cancer_rehabilitation_contact_email.csv
https://breast-survivorship-conference.ca/faculty/,facmed.registration@utoronto.ca,breast cancer rehabilitation contact email,New Haven,new_haven_breast_cancer_rehabilitation_contact_email.csv
https://www.cancercare.org/diagnosis/breast_cancer,info@cancercare.org,breast cancer rehabilitation contact email,New Haven,new_haven_breast_cancer_rehabilitation_contact_email.csv
https://www.worcsbreastunithaven.com/about/the-charity/,jacquie.clements@nhs.net,breast cancer rehabilitation contact email,New Haven,new_haven_breast_cancer_rehabilitation_contact_email.csv
https://www.mskcc.org/cancer-care/patient-education/radiation-therapy-breast-chest-wall,patiented@mskcc.org,breast cancer rehabilitation contact email,New Haven,new_haven_breast_cancer_rehabilitation_contact_email.csv
https://bmccancer.biomedcentral.com/articles/10.1186/s12885-024-13200-x,registrator@etikprovning.se,breast cancer rehabilitation contact email,New Haven,new_haven_breast_cancer_rehabilitation_contact_email.csv
https://bmcnurs.biomedcentral.com/articles/10.1186/s12912-025-02866-8,wenche.melander@med.lu.se,breast cancer rehabilitation contact email,New Haven,new_haven_breast_cancer_rehabilitation_contact_email.csv
https://hsnsudbury.ca/en/Services-and-Specialties/Cancer-Care/For-Healthcare-Professionals,northeastcancerscreening@hsnsudbury.ca,breast cancer rehabilitation contact email,New Haven,new_haven_breast_cancer_rehabilitation_contact_email.csv
https://hsnsudbury.ca/en/Services-and-Specialties/Cancer-Care,communications@hsnsudbury.ca,breast cancer rehabilitation contact email,New Haven,new_haven_breast_cancer_rehabilitation_contact_email.csv
https://stackoverflow.com/questions/3871729/transmitting-newline-character-n,email@mail.com,breast cancer rehabilitation contact email,New Haven,new_haven_breast_cancer_rehabilitation_contact_email.csv
https://www.jefferson.edu/academics/colleges-schools-institutes/skmc/departments/medical-oncology/faculty/abu-khalaf.html,Maysa.Abu-Khalaf@jefferson.edu,breast cancer rehabilitation contact email,New Haven,new_haven_breast_cancer_rehabilitation_contact_email.csv
https://www.sistersjourney.org/,sistersjourney@sbcglobal.net,breast cancer rehabilitation contact email,New Haven,new_haven_breast_cancer_rehabilitation_contact_email.csv
https://files-profile.medicine.yale.edu/documents/a2096f5b-c70a-4468-b490-3eff1bd94682,harvey.risch@yale.edu,breast cancer rehabilitation contact email,New Haven,new_haven_breast_cancer_rehabilitation_contact_email.csv
https://bia-education.com/product/rehabilitation-strategies-for-patients-with-cancer-certification/,info@bia-education.com,breast cancer rehabilitation contact email,New Haven,new_haven_breast_cancer_rehabilitation_contact_email.csv
http://www.flowpt.com/contact,amy@flowpt.com,breast cancer rehabilitation contact email,New York City,new_york_city_breast_cancer_rehabilitation_contact_email.csv
https://nyulangone.org/locations/beatrice-w-welters-breast-health-outreach-navigation-program,bewell@nyulangone.org,breast cancer rehabilitation contact email,New York City,new_york_city_breast_cancer_rehabilitation_contact_email.csv
https://www.health.ny.gov/diseases/cancer/services/community_resources/,CanServ@health.ny.gov,breast cancer rehabilitation contact email,New York City,new_york_city_breast_cancer_rehabilitation_contact_email.csv
https://www.femfirsthealth.com/breast-cancer-rehabilitation-nyc,Kristin@FemFirstHealth.com,breast cancer rehabilitation contact email,New York City,new_york_city_breast_cancer_rehabilitation_contact_email.csv
https://nycancer.com/physical_therapy/,info@nycancer.com,breast cancer rehabilitation contact email,New York City,new_york_city_breast_cancer_rehabilitation_contact_email.csv
https://www.wakemed.org/care-and-services/rehab-and-physical-therapy/services-and-programs/cancer-rehabilitation/breast-cancer-rehab-wellness-program,specialtyrehabservices@wakemed.org,breast cancer rehabilitation contact email,New York City,new_york_city_breast_cancer_rehabilitation_contact_email.csv
https://surgonc.org/fellows/breast-surgical-oncology-fellowship/breast-fellowship-program-list/mount-sinai-west-and-mount-sinai-chelsea/,stephanie.bernik@mountsinai.org,breast cancer rehabilitation contact email,New York City,new_york_city_breast_cancer_rehabilitation_contact_email.csv
https://nycancerfoundation.org/apply/,hope@nycancerfoundation.org,breast cancer rehabilitation contact email,New York City,new_york_city_breast_cancer_rehabilitation_contact_email.csv
https://www.cancercare.org/contact/long_island,swhelan@cancercare.org,breast cancer rehabilitation contact email,New York City,new_york_city_breast_cancer_rehabilitation_contact_email.csv
