URL,Email,SourceFile
https://www.cancercaremap.org/newark-breast-cancer-support-group/,newarkbcsg@gmail.com,newark_breast_cancer_charities_contact_email.csv
https://curebreastcancerfoundation.org/who-we-are/contact-us.html,info@curebreastcancerfoundation.org,newark_breast_cancer_charities_contact_email.csv
https://secure.acsevents.org/site/STR?pg=entry&fr_id=110810,danielle.buckler@cancer.org,newark_breast_cancer_charities_contact_email.csv
https://hersbreastcancerfoundation.org/,info@hersbreastcancerfoundation.org,newark_breast_cancer_charities_contact_email.csv
https://www.cancercare.org/contact/new_jersey,dsaff@cancercare.org,newark_breast_cancer_charities_contact_email.csv
https://www.komen.org/community/new-jersey/,helpline@komen.org,newark_breast_cancer_charities_contact_email.csv
https://www.bcrf.org/contact-us/,bcrf@bcrf.org,newark_breast_cancer_charities_contact_email.csv
https://www.nottingham.ac.uk/research/groups/nottinghambreastcancerresearchcentre/what-is-breast-cancer/index.aspx,nbcrc@nottingham.ac.uk,newark_breast_cancer_charities_contact_email.csv
https://www.sistersnetworkinc.org/chapters/,infonet@sistersnetwork.org,newark_breast_cancer_charities_contact_email.csv
https://cinj.org/patient-care/breast-cancer-resource-center,accessibility@rutgers.edu,newark_breast_cancer_charities_contact_email.csv
https://www.health.ny.gov/diseases/cancer/services/community_resources/,CanServ@health.ny.gov,newark_breast_cancer_charities_contact_email.csv
https://staffcouncil.newark.rutgers.edu/making-strides-against-breast-cancer-october-20-2024/,staff.council@newark.rutgers.edu,newark_breast_cancer_charities_contact_email.csv
https://crossroads4hope.org/,info@crossroads4hope.org,newark_breast_cancer_charities_contact_email.csv
https://new-jersey.crewnetwork.org/events/2024/making-strides-against-breast-cancer-walk,khurlbut@denholtz.com,newark_breast_cancer_charities_contact_email.csv
https://castingforrecovery.org/,Alexandra.Huffman@utsouthwestern.edu,newark_breast_cancer_charities_contact_email.csv
https://www.newark.com/contact-us,USAccountsReceivable@newark.com,newark_breast_cancer_charities_contact_email.csv
https://www.newark.com/about-us,HRNow.EMEA@Avnet.com,newark_breast_cancer_charities_contact_email.csv
https://canada.newark.com/contact-us,salestax@newark.com,newark_breast_cancer_charities_contact_email.csv
https://insight.jci.org/articles/view/126518,zwang@houstonmethodist.org,newark_breast_cancer_charities_contact_email.csv
https://www.nj.gov/health/charitycare/,Charity.Care-Fraud@doh.nj.gov,newark_breast_cancer_charities_contact_email.csv
https://dmv.de.gov/VehicleServices/tags/index.shtml?dc=tags_all,DMVCustomerService@delaware.gov,newark_breast_cancer_charities_contact_email.csv
