URL,Email
https://www.bidmc.org/centers-and-departments/cancer-center/cancer-center-programs-and-services/breastcare-center/programs-and-services/young-womens-breast-cancer-program,No email found
https://cancercenters.cancer.gov/cancer-centers/dana-farber-harvard-cancer-center,No email found
https://www.womenschoiceaward.com/best-breast-centers/boston-ma/,No email found
https://pubmed.ncbi.nlm.nih.gov/36220997/,No email found
https://www.bostonbdc.com/,No email found
https://www.bmc.org/departments/cancer-center/breast-cancer-program,No email found
https://www.bmc.org/departments/cancer-center/breast-cancer-program/our-team,No email found
https://www.cancer.gov/research/infrastructure/cancer-centers/find,No email found
http://www.dfhcc.harvard.edu/events/breast-cancer-program-retreat/contact,No email found
https://www.dfhcc.harvard.edu/about-dfhcc,benjamin_ebert@dfci.harvard.edu
https://www.massgeneral.org/cancer-center/treatments-and-services/breast-cancer/triple-negative-breast-cancer,MGHTNBCProgram@mgh.harvard.edu
https://pmc.ncbi.nlm.nih.gov/articles/PMC9479750/,No email found
https://www.dana-farber.org/cancer-care/types/breast-cancer,No email found
https://www.masseycancercenter.org/cancer-types-and-treatments/cancer-treatment-teams/breast-health/,askmassey@vcu.edu
https://www.dana-farber.org/cancer-care/treatment/breast-oncology/programs/invasive-lobular-breast-cancer,No email found
https://www.massgeneral.org/cancer-center/treatments-and-services/breast-cancer,No email found
https://www.fredhutch.org/en/news/releases/2024/10/-cancer-centers-launch-cancer-ai-alliance-to-unlock-discoveries-.html,media@fredhutch.org
https://www.cancer.org/,No email found
https://www.nature.com/npjbcancer/editors,No email found
https://www.dana-farberbrigham.org/,No email found
https://www.nebreastandwellness.com/,No email found
https://www.brighamandwomens.org/surgery/breast-surgery/contact-and-locations-for-breast-surgery-services,No email found
https://www.childrenshospital.org/programs/adolescent-breast-center/our-services,No email found
https://www.nwh.org/auerbach-breast-center/auerbach-breast-center,No email found
https://www.bmchealthsystem.org/bmc-south/departments/cancer,No email found
https://www.lfsassociation.org/where-to-get-lfs-care/,No email found
https://breastcancertrials.org/bct_nation/public_trialsite.seam?trialId=103971409&trialName=Avelumab+With+Binimetinib%2C+Utomilumab%2C+or+PF-04518600+For+Advanced+Triple+Negative+Breast+Cancer,No email found
https://patientresource.com/NCI_Designated_Cancer_Centers,No email found
https://www.brighamandwomens.org/cancer,No email found
https://ibcic.org/center/dana-farber-cancer-institute-inflammatory-breast-cancer-program/,contact@ibcic.org
https://www.discoverbrigham.org/bri/centers/cancer/,No email found
https://www.bmchealthsystem.org/bmc-brighton/departments/breast-care-center,No email found
https://www.cancercare.org/diagnosis/metastatic%20breast%20cancer,info@cancercare.org
https://www.cancercare.org/diagnosis/breast_cancer,info@cancercare.org
https://www.nccn.org/home/member-institutions,No email found
https://learn.hms.harvard.edu/programs/breast-cancer-new-horizons-current-controversies,No email found
https://www.ummhealth.org/services-treatments/cancer-center,No email found
https://www.komen.org/,helpline@komen.org
https://www.mayoclinic.org/departments-centers/mayo-clinic-cancer-center,No email found
https://ecog-acrin.org/about-ecog-acrin-cancer-research-group/organizational-overview/locations-and-contacts/,No email found
https://www.tuftsmedicine.org/medical-professionals-trainees/academic-departments/cancer-center,No email found
