URL,Email,SearchTerm,Location,SourceFile
https://www.wakemed.org/care-and-services/rehab-and-physical-therapy/services-and-programs/cancer-rehabilitation/breast-cancer-rehab-wellness-program,specialtyrehabservices@wakemed.org,breast_cancer_rehabilitation_contact_email,Hialeah,hialeah_breast_cancer_rehabilitation_contact_email.csv
https://www.spoonerpt.com/specialties/breast-health/,info@spoonerpt.com,breast_cancer_rehabilitation_contact_email,Hialeah,hialeah_breast_cancer_rehabilitation_contact_email.csv
https://umiamihealth.org/en/sylvester-comprehensive-cancer-center/survivorship-services/cancer-rehabilitation-medicine-services,scccsurvivorship@miami.edu,breast_cancer_rehabilitation_contact_email,Hialeah,hialeah_breast_cancer_rehabilitation_contact_email.csv
https://med.miami.edu/departments/physical-medicine-and-rehabilitation/education/fellowship-program,cdavis@med.miami.edu,breast_cancer_rehabilitation_contact_email,Hialeah,hialeah_breast_cancer_rehabilitation_contact_email.csv
https://my.clevelandclinic.org/florida/patients/support-groups,4thangel@ccf.org,breast_cancer_rehabilitation_contact_email,Hialeah,hialeah_breast_cancer_rehabilitation_contact_email.csv
https://www.vbcf.org/find-a-support-group/,freda.wilkins@vcuhealth.org,breast_cancer_rehabilitation_contact_email,Richmond,richmond_breast_cancer_rehabilitation_contact_email.csv
https://www.hcavirginia.com/locations/henrico-doctors-hospital/specialties/oncology,Jacqueline.Quigley@hcahealthcare.com,breast_cancer_rehabilitation_contact_email,Richmond,richmond_breast_cancer_rehabilitation_contact_email.csv
https://richmondmedicalgroup.co.uk/cancer-care-services/,Bernie.byrne@maggiescentres.org,breast_cancer_rehabilitation_contact_email,Richmond,richmond_breast_cancer_rehabilitation_contact_email.csv
https://www.mackenziehealth.ca/programs-services/cancer-care/breast-health-centre,accessibility@mackenziehealth.ca,breast_cancer_rehabilitation_contact_email,Richmond,richmond_breast_cancer_rehabilitation_contact_email.csv
https://www.breastcancerresearch.org.nz/wellbeing-support-services/,info@shockingpink.org.nz,breast_cancer_rehabilitation_contact_email,Richmond,richmond_breast_cancer_rehabilitation_contact_email.csv
https://nightingalemedical.ca/resources/breast-care-resources/,BreastHealth@viha.ca,breast_cancer_rehabilitation_contact_email,Richmond,richmond_breast_cancer_rehabilitation_contact_email.csv
https://www.innovativecancer.com/hialeah/,info@innovativecancer.com,breast_cancer_oncology_nurse_contact_email,Hialeah,hialeah_breast_cancer_oncology_nurse_contact_email.csv
https://www.houstonmethodist.org/cancer/patient-support/patient-navigator/,akeshavamurthy@houstonmethodist.org,breast_cancer_oncology_nurse_contact_email,Hialeah,hialeah_breast_cancer_oncology_nurse_contact_email.csv
https://www.hialeahfl.gov/154/Building-Department,buildingdepartment@hialeahfl.gov,breast_cancer_oncology_nurse_contact_email,Hialeah,hialeah_breast_cancer_oncology_nurse_contact_email.csv
https://www.hialeahfl.gov/781/Make-Payments,support@xpressbillpay.com,breast_cancer_oncology_nurse_contact_email,Hialeah,hialeah_breast_cancer_oncology_nurse_contact_email.csv
https://richmond.com/life-entertainment/local/food-drink/article_d0351dbe-493c-4457-8c0d-deea53b9dfe4.html,CCURRAN@richmond.com,breast_cancer_oncology_nurse_contact_email,Richmond,richmond_breast_cancer_oncology_nurse_contact_email.csv
https://richmond.com/life-entertainment/local/food-drink/article_5bce76c1-b485-4fa3-9591-6b1453d07d28.html,ccurran@timesdispatch.com,breast_cancer_oncology_nurse_contact_email,Richmond,richmond_breast_cancer_oncology_nurse_contact_email.csv
